epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,111.076,1.08097,4.38589,0.84984,0,0,0,0,0.94621,4.78449,0.85365,0.000106523,0.000106523,0.000106523
47,113.661,1.11991,4.3919,0.85578,0,0,0,0,0.95017,4.74194,0.85123,0.000108468,0.000108468,0.000108468
48,116.142,1.07043,4.3822,0.87593,0,0,0,0,0.95017,4.74194,0.85123,0.000110395,0.000110395,0.000110395
49,118.659,1.09664,4.37749,0.8697,0.02969,0.04167,0.03666,0.02333,0.95028,4.70335,0.8509,0.000112303,0.000112303,0.000112303
50,121.189,1.10514,4.3375,0.85707,0.02969,0.04167,0.03666,0.02333,0.95028,4.70335,0.8509,0.000114193,0.000114193,0.000114193
51,123.792,1.0892,4.30555,0.85811,0.02604,0.07292,0.04702,0.03019,0.95686,4.66698,0.85216,0.000116065,0.000116065,0.000116065
52,126.288,1.01743,4.29727,0.88358,0.02604,0.07292,0.04702,0.03019,0.95686,4.66698,0.85216,0.000117918,0.000117918,0.000117918
53,128.709,1.08915,4.25576,0.86979,0.02604,0.07292,0.04702,0.03019,0.95686,4.66698,0.85216,0.000119754,0.000119754,0.000119754
54,131.228,1.05699,4.27362,0.8608,0.03974,0.13542,0.07416,0.04782,0.954,4.61745,0.85259,0.00012157,0.00012157,0.00012157
55,133.601,1.12224,4.24354,0.87528,0.03974,0.13542,0.07416,0.04782,0.954,4.61745,0.85259,0.000123369,0.000123369,0.000123369
56,136.103,1.07269,4.26466,0.86332,0.03974,0.13542,0.07416,0.04782,0.954,4.61745,0.85259,0.000125149,0.000125149,0.000125149
57,138.697,1.14461,4.23874,0.82783,0.02973,0.17708,0.08007,0.0495,0.95388,4.55773,0.85125,0.00012691,0.00012691,0.00012691
58,140.996,1.03387,4.05486,0.89253,0.02973,0.17708,0.08007,0.0495,0.95388,4.55773,0.85125,0.000128654,0.000128654,0.000128654
59,143.537,1.09157,4.2335,0.85823,0.02973,0.17708,0.08007,0.0495,0.95388,4.55773,0.85125,0.000130379,0.000130379,0.000130379
60,146.024,1.07243,4.10622,0.88518,0.0503,0.22396,0.09809,0.05979,0.93871,4.50361,0.8511,0.000132085,0.000132085,0.000132085
61,148.501,1.06571,4.04775,0.88116,0.0503,0.22396,0.09809,0.05979,0.93871,4.50361,0.8511,0.000133774,0.000133774,0.000133774
62,150.847,1.05473,4.07282,0.87171,0.0503,0.22396,0.09809,0.05979,0.93871,4.50361,0.8511,0.000135444,0.000135444,0.000135444
63,153.403,1.06991,4.10782,0.8847,0.04383,0.27604,0.10904,0.07002,0.93292,4.44364,0.85415,0.000137095,0.000137095,0.000137095
64,156.042,1.12822,4.05253,0.86427,0.04383,0.27604,0.10904,0.07002,0.93292,4.44364,0.85415,0.000138728,0.000138728,0.000138728
65,158.649,1.14635,4.08524,0.84695,0.04383,0.27604,0.10904,0.07002,0.93292,4.44364,0.85415,0.000140343,0.000140343,0.000140343
66,161.379,1.0657,4.02506,0.85847,0.04477,0.33854,0.11537,0.07558,0.94843,4.38729,0.85918,0.00014194,0.00014194,0.00014194
67,164.033,1.1975,4.06676,0.86738,0.04477,0.33854,0.11537,0.07558,0.94843,4.38729,0.85918,0.000143518,0.000143518,0.000143518
68,166.507,1.05942,3.86595,0.87767,0.04477,0.33854,0.11537,0.07558,0.94843,4.38729,0.85918,0.000145078,0.000145078,0.000145078
69,168.918,1.01279,3.97674,0.88102,0.04111,0.36979,0.11659,0.08068,0.95975,4.33616,0.86376,0.000146619,0.000146619,0.000146619
70,171.31,1.11885,3.92529,0.85307,0.04111,0.36979,0.11659,0.08068,0.95975,4.33616,0.86376,0.000148143,0.000148143,0.000148143
71,173.789,1.06572,3.82989,0.85709,0.04111,0.36979,0.11659,0.08068,0.95975,4.33616,0.86376,0.000149647,0.000149647,0.000149647
72,176.254,1.07658,3.82234,0.8778,0.04281,0.41146,0.12959,0.08911,0.97603,4.27518,0.86695,0.000151134,0.000151134,0.000151134
73,179.048,1.19239,3.97736,0.87829,0.04281,0.41146,0.12959,0.08911,0.97603,4.27518,0.86695,0.000152602,0.000152602,0.000152602
74,181.553,1.06741,3.80889,0.87037,0.04281,0.41146,0.12959,0.08911,0.97603,4.27518,0.86695,0.000154052,0.000154052,0.000154052
75,184.099,1.1535,3.93402,0.85928,0.04941,0.46354,0.1438,0.09553,0.9966,4.22685,0.87113,0.000155483,0.000155483,0.000155483
76,186.622,1.19004,3.71616,0.86269,0.04941,0.46354,0.1438,0.09553,0.9966,4.22685,0.87113,0.000156896,0.000156896,0.000156896
77,188.942,1.0438,3.63139,0.88388,0.04941,0.46354,0.1438,0.09553,0.9966,4.22685,0.87113,0.000158291,0.000158291,0.000158291
78,191.466,1.06056,3.78591,0.85105,0.04726,0.46354,0.14928,0.09836,0.99544,4.1837,0.87507,0.000159667,0.000159667,0.000159667
79,194.066,1.05489,3.73452,0.86115,0.04726,0.46354,0.14928,0.09836,0.99544,4.1837,0.87507,0.000161025,0.000161025,0.000161025
80,196.571,1.10242,3.6046,0.8783,0.04726,0.46354,0.14928,0.09836,0.99544,4.1837,0.87507,0.000162365,0.000162365,0.000162365
81,199.129,1.17875,3.81503,0.84239,0.05589,0.48438,0.16398,0.1085,0.97751,4.14851,0.87941,0.000163686,0.000163686,0.000163686
82,201.492,1.09464,3.63858,0.87455,0.05589,0.48438,0.16398,0.1085,0.97751,4.14851,0.87941,0.000164989,0.000164989,0.000164989
83,204.077,1.08177,3.63526,0.87027,0.05589,0.48438,0.16398,0.1085,0.97751,4.14851,0.87941,0.000166274,0.000166274,0.000166274
84,206.734,1.10929,3.60708,0.87014,0.05403,0.49479,0.16859,0.11661,0.95761,4.10533,0.88195,0.00016754,0.00016754,0.00016754
85,209.265,1.12609,3.77919,0.83927,0.05403,0.49479,0.16859,0.11661,0.95761,4.10533,0.88195,0.000168788,0.000168788,0.000168788
86,211.887,1.08989,3.76328,0.86489,0.05403,0.49479,0.16859,0.11661,0.95761,4.10533,0.88195,0.000170018,0.000170018,0.000170018
87,214.383,1.03537,3.61881,0.87707,0.05403,0.49479,0.16859,0.11661,0.95761,4.10533,0.88195,0.000171229,0.000171229,0.000171229
88,216.965,1.14567,3.7341,0.85083,0.05353,0.49479,0.16784,0.11662,0.95113,4.07815,0.88502,0.000172422,0.000172422,0.000172422
89,219.471,1.03473,3.60904,0.85084,0.05353,0.49479,0.16784,0.11662,0.95113,4.07815,0.88502,0.000173597,0.000173597,0.000173597
90,222.083,1.11334,3.65081,0.84063,0.05353,0.49479,0.16784,0.11662,0.95113,4.07815,0.88502,0.000174753,0.000174753,0.000174753
91,224.464,1.06069,3.5056,0.88241,0.05353,0.49479,0.16784,0.11662,0.95113,4.07815,0.88502,0.000175891,0.000175891,0.000175891
92,227.182,1.0651,3.50422,0.85178,0.0533,0.49479,0.172,0.11893,0.95087,4.03675,0.88693,0.00017701,0.00017701,0.00017701
93,230.151,1.11497,3.57621,0.85082,0.0533,0.49479,0.172,0.11893,0.95087,4.03675,0.88693,0.000178111,0.000178111,0.000178111
94,232.753,1.03472,3.35386,0.85973,0.0533,0.49479,0.172,0.11893,0.95087,4.03675,0.88693,0.000179194,0.000179194,0.000179194
95,235.383,1.0257,3.42091,0.85529,0.0533,0.49479,0.172,0.11893,0.95087,4.03675,0.88693,0.000180259,0.000180259,0.000180259
96,238.028,1.02827,3.39356,0.87649,0.0597,0.55208,0.19561,0.13888,0.94393,3.99338,0.88766,0.000181305,0.000181305,0.000181305
97,240.515,0.99671,3.31056,0.86286,0.0597,0.55208,0.19561,0.13888,0.94393,3.99338,0.88766,0.000182332,0.000182332,0.000182332
98,243.177,1.02789,3.42637,0.86838,0.0597,0.55208,0.19561,0.13888,0.94393,3.99338,0.88766,0.000183342,0.000183342,0.000183342
99,245.988,1.05487,3.47459,0.86643,0.0597,0.55208,0.19561,0.13888,0.94393,3.99338,0.88766,0.000184333,0.000184333,0.000184333
100,248.781,1.05085,3.47228,0.85218,0.0642,0.60938,0.20851,0.14798,0.9421,3.95271,0.88996,0.000185306,0.000185306,0.000185306
101,251.327,1.02686,3.33933,0.8588,0.0642,0.60938,0.20851,0.14798,0.9421,3.95271,0.88996,0.00018626,0.00018626,0.00018626
102,253.877,1.04619,3.45414,0.85798,0.0642,0.60938,0.20851,0.14798,0.9421,3.95271,0.88996,0.000185343,0.000185343,0.000185343
103,256.582,1.09289,3.45354,0.84248,0.0642,0.60938,0.20851,0.14798,0.9421,3.95271,0.88996,0.000184425,0.000184425,0.000184425
104,259.069,1.03704,3.31006,0.8621,0.06771,0.61979,0.20735,0.14816,0.94539,3.92883,0.89221,0.000183508,0.000183508,0.000183508
105,261.673,1.06504,3.51123,0.86223,0.06771,0.61979,0.20735,0.14816,0.94539,3.92883,0.89221,0.00018259,0.00018259,0.00018259
106,264.215,1.05312,3.28227,0.85535,0.06771,0.61979,0.20735,0.14816,0.94539,3.92883,0.89221,0.000181673,0.000181673,0.000181673
107,266.748,1.05158,3.34474,0.85456,0.06771,0.61979,0.20735,0.14816,0.94539,3.92883,0.89221,0.000180756,0.000180756,0.000180756
108,269.315,1.02442,3.25933,0.89447,0.0704,0.64062,0.20956,0.15141,0.94935,3.90498,0.89557,0.000179838,0.000179838,0.000179838
109,271.866,1.06187,3.27891,0.85626,0.0704,0.64062,0.20956,0.15141,0.94935,3.90498,0.89557,0.000178921,0.000178921,0.000178921
110,274.512,1.20624,3.53998,0.85261,0.0704,0.64062,0.20956,0.15141,0.94935,3.90498,0.89557,0.000178003,0.000178003,0.000178003
111,276.994,1.11079,3.31728,0.84778,0.0704,0.64062,0.20956,0.15141,0.94935,3.90498,0.89557,0.000177086,0.000177086,0.000177086
112,279.677,1.14437,3.47022,0.83952,0.07446,0.66146,0.22453,0.16139,0.95989,3.89921,0.90037,0.000176169,0.000176169,0.000176169
113,282.105,1.03384,3.10745,0.87296,0.07446,0.66146,0.22453,0.16139,0.95989,3.89921,0.90037,0.000175251,0.000175251,0.000175251
114,284.519,1.0116,2.99103,0.88336,0.07446,0.66146,0.22453,0.16139,0.95989,3.89921,0.90037,0.000174334,0.000174334,0.000174334
115,287.088,1.17836,3.12229,0.87147,0.07446,0.66146,0.22453,0.16139,0.95989,3.89921,0.90037,0.000173416,0.000173416,0.000173416
116,289.59,1.06877,3.21956,0.85695,0.07931,0.69792,0.24247,0.17494,0.97776,3.84018,0.90451,0.000172499,0.000172499,0.000172499
117,292.108,1.08654,3.14453,0.84643,0.07931,0.69792,0.24247,0.17494,0.97776,3.84018,0.90451,0.000171582,0.000171582,0.000171582
118,294.623,1.0966,2.94546,0.86733,0.07931,0.69792,0.24247,0.17494,0.97776,3.84018,0.90451,0.000170664,0.000170664,0.000170664
119,297.298,1.0738,3.08156,0.83249,0.07931,0.69792,0.24247,0.17494,0.97776,3.84018,0.90451,0.000169747,0.000169747,0.000169747
120,299.985,1.06909,3.25423,0.86097,0.08018,0.69792,0.25258,0.18336,0.98022,3.76591,0.9042,0.000168829,0.000168829,0.000168829
121,302.726,1.10266,3.06713,0.83391,0.08018,0.69792,0.25258,0.18336,0.98022,3.76591,0.9042,0.000167912,0.000167912,0.000167912
122,305.174,1.03995,3.00933,0.8608,0.08018,0.69792,0.25258,0.18336,0.98022,3.76591,0.9042,0.000166995,0.000166995,0.000166995
123,307.51,1.08049,3.15465,0.84236,0.08018,0.69792,0.25258,0.18336,0.98022,3.76591,0.9042,0.000166077,0.000166077,0.000166077
124,309.767,1.05398,3.16836,0.85426,0.08264,0.71875,0.25741,0.18973,0.98238,3.68787,0.90479,0.00016516,0.00016516,0.00016516
125,311.955,1.0701,2.8916,0.87743,0.08264,0.71875,0.25741,0.18973,0.98238,3.68787,0.90479,0.000164242,0.000164242,0.000164242
126,314.143,1.02623,2.98313,0.85327,0.08264,0.71875,0.25741,0.18973,0.98238,3.68787,0.90479,0.000163325,0.000163325,0.000163325
127,316.335,1.06422,2.92789,0.85611,0.08264,0.71875,0.25741,0.18973,0.98238,3.68787,0.90479,0.000162408,0.000162408,0.000162408
128,318.66,1.09985,3.02392,0.82215,0.08826,0.75521,0.26783,0.19779,0.99047,3.60274,0.90239,0.00016149,0.00016149,0.00016149
129,321.065,1.03598,3.01418,0.84626,0.08826,0.75521,0.26783,0.19779,0.99047,3.60274,0.90239,0.000160573,0.000160573,0.000160573
130,323.337,0.9839,3.02276,0.84977,0.08826,0.75521,0.26783,0.19779,0.99047,3.60274,0.90239,0.000159655,0.000159655,0.000159655
131,325.592,1.0432,3.03751,0.84809,0.08826,0.75521,0.26783,0.19779,0.99047,3.60274,0.90239,0.000158738,0.000158738,0.000158738
132,327.906,1.04022,3.13856,0.84281,0.08396,0.73958,0.26871,0.19759,0.98684,3.54853,0.8991,0.000157821,0.000157821,0.000157821
133,330.268,0.98366,2.75939,0.86407,0.08396,0.73958,0.26871,0.19759,0.98684,3.54853,0.8991,0.000156903,0.000156903,0.000156903
134,332.619,1.10103,3.05269,0.83206,0.08396,0.73958,0.26871,0.19759,0.98684,3.54853,0.8991,0.000155986,0.000155986,0.000155986
135,335.468,1.00425,2.81081,0.83515,0.08396,0.73958,0.26871,0.19759,0.98684,3.54853,0.8991,0.000155068,0.000155068,0.000155068
136,338.404,1.12082,2.8775,0.85869,0.08394,0.73958,0.27657,0.20512,0.97876,3.47882,0.89692,0.000154151,0.000154151,0.000154151
137,341.496,1.03359,2.86147,0.86105,0.08394,0.73958,0.27657,0.20512,0.97876,3.47882,0.89692,0.000153234,0.000153234,0.000153234
138,344.154,0.98874,2.74141,0.84768,0.08394,0.73958,0.27657,0.20512,0.97876,3.47882,0.89692,0.000152316,0.000152316,0.000152316
139,347.504,1.04115,3.01094,0.85657,0.08394,0.73958,0.27657,0.20512,0.97876,3.47882,0.89692,0.000151399,0.000151399,0.000151399
140,350.263,1.04813,2.66795,0.84266,0.27862,0.4375,0.27773,0.21019,0.97857,3.42813,0.89855,0.000150481,0.000150481,0.000150481
141,352.989,1.04549,2.65012,0.86057,0.27862,0.4375,0.27773,0.21019,0.97857,3.42813,0.89855,0.000149564,0.000149564,0.000149564
142,355.525,0.98921,2.69676,0.87603,0.27862,0.4375,0.27773,0.21019,0.97857,3.42813,0.89855,0.000148647,0.000148647,0.000148647
143,358.136,1.13553,2.70068,0.84849,0.27862,0.4375,0.27773,0.21019,0.97857,3.42813,0.89855,0.000147729,0.000147729,0.000147729
144,360.574,1.0414,2.75533,0.8801,0.44417,0.36123,0.29468,0.22169,0.98289,3.36887,0.89984,0.000146812,0.000146812,0.000146812
145,362.995,1.06337,2.71261,0.83568,0.44417,0.36123,0.29468,0.22169,0.98289,3.36887,0.89984,0.000145894,0.000145894,0.000145894
146,365.671,1.03112,2.77669,0.86659,0.44417,0.36123,0.29468,0.22169,0.98289,3.36887,0.89984,0.000144977,0.000144977,0.000144977
147,368.103,1.04317,2.69621,0.8539,0.44417,0.36123,0.29468,0.22169,0.98289,3.36887,0.89984,0.00014406,0.00014406,0.00014406
148,370.64,1.08656,2.6347,0.8497,0.43946,0.36762,0.31498,0.23504,0.99417,3.33275,0.90228,0.000143142,0.000143142,0.000143142
149,373.049,0.98306,2.47901,0.84664,0.43946,0.36762,0.31498,0.23504,0.99417,3.33275,0.90228,0.000142225,0.000142225,0.000142225
150,375.646,1.06799,2.82334,0.83829,0.43946,0.36762,0.31498,0.23504,0.99417,3.33275,0.90228,0.000141307,0.000141307,0.000141307
151,378.206,1.06791,2.71151,0.87548,0.43946,0.36762,0.31498,0.23504,0.99417,3.33275,0.90228,0.00014039,0.00014039,0.00014039
152,380.809,1.16212,2.83646,0.84698,0.47963,0.33886,0.31474,0.23229,1.0112,3.3031,0.90567,0.000139473,0.000139473,0.000139473
153,383.43,1.11345,2.76818,0.8365,0.47963,0.33886,0.31474,0.23229,1.0112,3.3031,0.90567,0.000138555,0.000138555,0.000138555
154,385.986,1.08363,2.71111,0.85611,0.47963,0.33886,0.31474,0.23229,1.0112,3.3031,0.90567,0.000137638,0.000137638,0.000137638
155,388.455,1.07346,2.62021,0.86828,0.47963,0.33886,0.31474,0.23229,1.0112,3.3031,0.90567,0.00013672,0.00013672,0.00013672
156,390.962,1.03007,2.78543,0.83009,0.43622,0.33621,0.32582,0.23875,1.03248,3.28142,0.90778,0.000135803,0.000135803,0.000135803
157,393.378,1.03219,2.66542,0.83527,0.43622,0.33621,0.32582,0.23875,1.03248,3.28142,0.90778,0.000134886,0.000134886,0.000134886
158,395.75,1.03555,2.73641,0.87543,0.43622,0.33621,0.32582,0.23875,1.03248,3.28142,0.90778,0.000133968,0.000133968,0.000133968
159,398.192,1.00337,2.40948,0.86511,0.43622,0.33621,0.32582,0.23875,1.03248,3.28142,0.90778,0.000133051,0.000133051,0.000133051
160,400.861,1.02879,2.69897,0.85961,0.47922,0.34481,0.33513,0.24576,1.04489,3.25861,0.90661,0.000132133,0.000132133,0.000132133
161,403.242,1.0417,2.44039,0.8936,0.47922,0.34481,0.33513,0.24576,1.04489,3.25861,0.90661,0.000131216,0.000131216,0.000131216
162,405.918,1.03902,2.69013,0.8287,0.47922,0.34481,0.33513,0.24576,1.04489,3.25861,0.90661,0.000130299,0.000130299,0.000130299
163,408.445,0.99042,2.53435,0.86432,0.47922,0.34481,0.33513,0.24576,1.04489,3.25861,0.90661,0.000129381,0.000129381,0.000129381
164,411.023,1.02847,2.42723,0.85948,0.51543,0.32323,0.34996,0.25504,1.03357,3.22993,0.90185,0.000128464,0.000128464,0.000128464
165,413.539,1.00422,2.52069,0.87102,0.51543,0.32323,0.34996,0.25504,1.03357,3.22993,0.90185,0.000127546,0.000127546,0.000127546
166,416.028,1.0103,2.48859,0.86691,0.51543,0.32323,0.34996,0.25504,1.03357,3.22993,0.90185,0.000126629,0.000126629,0.000126629
167,418.532,1.01817,2.47939,0.86011,0.51543,0.32323,0.34996,0.25504,1.03357,3.22993,0.90185,0.000125712,0.000125712,0.000125712
168,420.918,1.03307,2.5641,0.85739,0.48008,0.32066,0.36504,0.27136,1.00963,3.2011,0.89718,0.000124794,0.000124794,0.000124794
169,423.448,1.13911,2.7527,0.85375,0.48008,0.32066,0.36504,0.27136,1.00963,3.2011,0.89718,0.000123877,0.000123877,0.000123877
170,426.251,0.9843,2.4463,0.85207,0.48008,0.32066,0.36504,0.27136,1.00963,3.2011,0.89718,0.000122959,0.000122959,0.000122959
171,428.937,0.98283,2.4544,0.86239,0.48008,0.32066,0.36504,0.27136,1.00963,3.2011,0.89718,0.000122042,0.000122042,0.000122042
172,431.41,1.13295,2.43017,0.85655,0.46169,0.34204,0.38152,0.28807,0.99708,3.15851,0.89408,0.000121125,0.000121125,0.000121125
173,433.844,1.0485,2.38724,0.83722,0.46169,0.34204,0.38152,0.28807,0.99708,3.15851,0.89408,0.000120207,0.000120207,0.000120207
174,436.364,1.11247,2.35941,0.84256,0.46169,0.34204,0.38152,0.28807,0.99708,3.15851,0.89408,0.00011929,0.00011929,0.00011929
175,438.868,1.0395,2.47146,0.8415,0.46169,0.34204,0.38152,0.28807,0.99708,3.15851,0.89408,0.000118372,0.000118372,0.000118372
176,441.454,1.1434,2.57523,0.87076,0.47602,0.39466,0.39821,0.30131,0.99196,3.12899,0.89093,0.000117455,0.000117455,0.000117455
